name,lat,lng,address,google_maps_url,place_id,cid,google_name,status
TRẠM THU PHÍ CẦN THƠ - PHỤNG HIỆP,9.9728676,105.7404303,"119 QL1, Cái Răng, Cần Thơ, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7n+Th%C6%A1+-+Ph%E1%BB%A5ng+Hi%E1%BB%87p/@9.9728676,105.7404303,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089d108f418a7:0xa857b8801fb1de71!8m2!3d9.9728676!4d105.7404303!16s%2Fg%2F11gzngmf37?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31a089d108f418a7:0xa857b8801fb1de71,Trạm Thu phí Cần Thơ - Phụng Hiệp,1
TRẠM THU PHÍ CẨM PHẢ QL 18,21.0031012,107.3271867,"Trần Quốc Tảng, Cửa Ông, Quảng Ninh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+C%E1%BA%A9m+Ph%E1%BA%A3/@21.0031012,107.3271867,17z/data=!3m1!4b1!4m6!3m5!1s0x314b01ad9579ffb9:0xa12f7d8f16a2a2ec!8m2!3d21.0031012!4d107.3271867!16s%2Fg%2F11fx9h1q9d?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314b01ad9579ffb9:0xa12f7d8f16a2a2ec,Trạm Thu Phí Cẩm Phả,1
TRẠM THU PHÍ HẠ LONG VÂN ĐỒN,21.0824258,107.3928713,"39JV+X4H, Unnamed, Road, Vân Đồn, Quảng Ninh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+H%E1%BA%A1+Long+-+V%C3%A2n+%C4%90%E1%BB%93n/@21.0824258,107.3928713,17z/data=!3m1!4b1!4m6!3m5!1s0x314b055c6e77a297:0xe53f443500b290d2!8m2!3d21.0824258!4d107.3928713!16s%2Fg%2F11fmd7ct3t?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314b055c6e77a297:0xe53f443500b290d2,Trạm thu phí cao tốc Hạ Long - Vân Đồn,1
TRẠM THU PHÍ TIÊN YÊN - MÓNG CÁI,21.3086586,107.4760592,"Đông Ngũ, Quảng Ninh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ti%C3%AAn+Y%C3%AAn/@21.3086586,107.4760592,17z/data=!3m1!4b1!4m6!3m5!1s0x314b23dda3f5de9f:0xdd4c320f8170c6ef!8m2!3d21.3086586!4d107.4760592!16s%2Fg%2F11s7kpk60l?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314b23dda3f5de9f:0xdd4c320f8170c6ef,Trạm Thu phí Tiên Yên,1
TRẠM THU PHÍ DT741- BÌNH DƯƠNG,11.2218334,106.7252837,"6PCG+P43, ĐT741, Phước Hòa, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+%C4%90T741/@11.2218334,106.7252837,17z/data=!3m1!4b1!4m6!3m5!1s0x3174c7ec066570e9:0x71f957b08d6184c7!8m2!3d11.2218334!4d106.7252837!16s%2Fg%2F11vf1p4v9b?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3174c7ec066570e9:0x71f957b08d6184c7,Trạm Thu Phí ĐT741,1
TRẠM THU PHÍ SUỐI GIỮA,11.0052367,106.6456296,"2J4W+37R, Đại lộ Bình Dương, Chánh Hiệp, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Su%E1%BB%91i+Gi%E1%BB%AFa/@11.0052367,106.6456296,17z/data=!3m1!4b1!4m6!3m5!1s0x3174d128d66efa31:0x21f2d3b77828b988!8m2!3d11.0052367!4d106.6456296!16s%2Fg%2F1td67ckn?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3174d128d66efa31:0x21f2d3b77828b988,Trạm Thu phí Suối Giữa,1
TRẠM THU PHÍ VĨNH PHÚ,10.886868,106.6997385,"32 Đại lộ Bình Dương, Khu Phố, Lái Thiêu, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+V%C4%A9nh+Ph%C3%BA,+32+%C4%90%E1%BA%A1i+l%E1%BB%99+B%C3%ACnh+D%C6%B0%C6%A1ng,+Khu+Ph%E1%BB%91,+L%C3%A1i+Thi%C3%AAu,+H%E1%BB%93+Ch%C3%AD+Minh,+Vi%E1%BB%87t+Nam/@10.886839,106.6996894,17z/data=!3m1!4b1!4m6!3m5!1s0x3174d7dd570203ff:0x4ea22707fe549840!8m2!3d10.886868!4d106.6997385!16s%2Fg%2F11bvtgt33s?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3174d7dd570203ff:0x4ea22707fe549840,Trạm thu phí Vĩnh Phú,1
TRẠM THU PHÍ QL 5 SỐ 2 ( TRẠM QUÁN TOAN),20.9085704,106.5726339,"QL5 chợ Hỗ, Hồng An, Hải Phòng, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+S%E1%BB%91+2+-+Qu%E1%BB%91c+l%E1%BB%99+5/@20.9085704,106.5726339,17z/data=!3m1!4b1!4m6!3m5!1s0x314a78e66e0cd1e1:0x7e47aa60a24902c!8m2!3d20.9085704!4d106.5726339!16s%2Fg%2F1hc4yhvrv?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314a78e66e0cd1e1:0x7e47aa60a24902c,Trạm Thu phí Số 2 - Quốc lộ 5,1
TRẠM THU PHÍ PHẢ LẠI,21.116648,106.2765208,"478G+MJ2, Phù Lãng, Bắc Ninh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%E1%BA%A3+L%E1%BA%A1i/@21.116648,106.2765208,17z/data=!3m1!4b1!4m6!3m5!1s0x313577ca407fbdf9:0xd1e99dd9d6e61ae6!8m2!3d21.116648!4d106.2765208!16s%2Fg%2F11h6nswrsr?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x313577ca407fbdf9:0xd1e99dd9d6e61ae6,Trạm Thu phí Phả Lại,1
TRẠM THU PHÍ TIÊN CỰU,20.7764367,106.5076222,"QGG5+H2H, QL10, Quyết Thắng, Hải Phòng, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ti%C3%AAn+C%E1%BB%B1u/@20.7764367,106.5076222,17z/data=!3m1!4b1!4m6!3m5!1s0x31358996beaaaaab:0x6a486293c9c3760b!8m2!3d20.7764367!4d106.5076222!16s%2Fg%2F1tnkzw90?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31358996beaaaaab:0x6a486293c9c3760b,Trạm Thu phí Tiên Cựu,1
