object_id,object_type,candidate_source,candidate_name,candidate_name_normalized,candidate_confidence,current_name,lat,lon
vn-toll-clean-077,toll_station,colleague_name,TRẠM THU PHÍ AN SƯƠNG AN LẠC,tram thu phi an suong an lac,0.75,Trạm thu phí An Sương - An Lạc,10.7949827,106.5966321
vn-toll-clean-077,toll_station,colleague_google_name,Trạm thu phí An Sương - An Lạc,tram thu phi an suong an lac,0.85,Trạm thu phí An Sương - An Lạc,10.7949827,106.5966321
vn-toll-clean-077,toll_station,google_name,Trạm thu phí An Sương - An Lạc,tram thu phi an suong an lac,0.80,Trạm thu phí An Sương - An Lạc,10.7949827,106.5966321
vn-toll-gmaps-chijx-yktrabszerdy-sngzpn-c,toll_station,current_name,Trạm thu phí BOT Biên Cương,tram thu phi bot bien cuong,0.90,Trạm thu phí BOT Biên Cương,21.009102,107.354951
vn-toll-gmaps-chijx-yktrabszerdy-sngzpn-c,toll_station,osm_name,Trạm thu phí Biên Cương,tram thu phi bien cuong,0.65,Trạm thu phí BOT Biên Cương,21.009102,107.354951
vn-toll-gmaps-chijx-yktrabszerdy-sngzpn-c,toll_station,google_name,Trạm thu phí BOT Biên Cương,tram thu phi bot bien cuong,0.8,Trạm thu phí BOT Biên Cương,21.009102,107.354951
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,current_name,Trạm thu phí BOT Quang Đức Quốc lộ 14,tram thu phi bot quang duc quoc lo 14,0.90,Trạm thu phí BOT Quang Đức Quốc lộ 14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,osm_name,OSM toll 13077408419,osm toll 13077408419,0.65,Trạm thu phí BOT Quang Đức Quốc lộ 14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,road,QL14,quoc lo 14,0.35,Trạm thu phí BOT Quang Đức Quốc lộ 14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,reviewed_osm_name,Trạm Thu Phí BOT Quang Đức QL14,tram thu phi bot quang duc quoc lo 14,0.95,Trạm thu phí BOT Quang Đức Quốc lộ 14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,review_google_name,Trạm Thu Phí BOT Quang Đức QL14,tram thu phi bot quang duc quoc lo 14,0.85,Trạm thu phí BOT Quang Đức Quốc lộ 14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,google_name,Trạm thu phí BOT Quang Đức Quốc lộ 14,tram thu phi bot quang duc quoc lo 14,0.8,Trạm thu phí BOT Quang Đức Quốc lộ 14,12.830902,108.248057
vn-toll-clean-046,toll_station,current_name,Trạm thu phí BOT Thanh Nê,tram thu phi bot thanh ne,0.90,Trạm thu phí BOT Thanh Nê,20.3915191,106.4301286
vn-toll-clean-046,toll_station,colleague_name,Trạm thu phí BOT Thanh Nê,tram thu phi bot thanh ne,0.75,Trạm thu phí BOT Thanh Nê,20.3915191,106.4301286
vn-toll-clean-046,toll_station,colleague_google_name,Trạm thu phí BOT Thanh Nê,tram thu phi bot thanh ne,0.85,Trạm thu phí BOT Thanh Nê,20.3915191,106.4301286
vn-toll-clean-046,toll_station,google_name,Trạm thu phí BOT Thanh Nê,tram thu phi bot thanh ne,0.80,Trạm thu phí BOT Thanh Nê,20.3915191,106.4301286
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,current_name,Trạm thu phí Bình Giang,tram thu phi binh giang,0.90,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,osm_name,OSM toll 11946078822,osm toll 11946078822,0.65,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,reviewed_osm_name,Trạm Thu phí Bình Giang,tram thu phi binh giang,0.95,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,review_google_name,Trạm Thu phí Bình Giang,tram thu phi binh giang,0.85,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,colleague_name,Trạm Thu phí Bình Giang,tram thu phi binh giang,0.75,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,colleague_google_name,Trạm Thu phí Bình Giang,tram thu phi binh giang,0.85,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,google_name,Trạm thu phí Bình Giang,tram thu phi binh giang,0.8,Trạm thu phí Bình Giang,20.850998,106.202547
vn-toll-gmaps-chijg7oddgr7nderqntflucdusi,toll_station,current_name,Trạm thu phí Bình Xuyên (IC3),tram thu phi binh xuyen ic3,0.90,Trạm thu phí Bình Xuyên (IC3),21.279366,105.669267
vn-toll-gmaps-chijg7oddgr7nderqntflucdusi,toll_station,osm_name,Trạm thu phí Bình Xuyên,tram thu phi binh xuyen,0.65,Trạm thu phí Bình Xuyên (IC3),21.279366,105.669267
vn-toll-gmaps-chijg7oddgr7nderqntflucdusi,toll_station,google_name,Trạm thu phí Bình Xuyên (IC3),tram thu phi binh xuyen ic3,0.7,Trạm thu phí Bình Xuyên (IC3),21.279366,105.669267
vn-toll-clean-082,toll_station,current_name,Trạm thu phí Bù Nho,tram thu phi bu nho,0.90,Trạm thu phí Bù Nho,11.7275712,106.8751126
vn-toll-clean-082,toll_station,road,ĐT741,dt741,0.35,Trạm thu phí Bù Nho,11.7275712,106.8751126
vn-toll-clean-082,toll_station,colleague_name,Trạm thu phí Bù Nho,tram thu phi bu nho,0.75,Trạm thu phí Bù Nho,11.7275712,106.8751126
vn-toll-clean-082,toll_station,colleague_google_name,Trạm Thu phí Bù Nho,tram thu phi bu nho,0.85,Trạm thu phí Bù Nho,11.7275712,106.8751126
vn-toll-clean-082,toll_station,google_name,Trạm thu phí Bù Nho,tram thu phi bu nho,0.80,Trạm thu phí Bù Nho,11.7275712,106.8751126
vn-toll-gmaps-chijz0jdhhggoteru0rs7axzots,toll_station,current_name,Trạm thu phí Bạc Liêu,tram thu phi bac lieu,0.90,Trạm thu phí Bạc Liêu,9.374352,105.712277
vn-toll-gmaps-chijz0jdhhggoteru0rs7axzots,toll_station,osm_name,Trạm Thu Phí Bạc Liêu,tram thu phi bac lieu,0.65,Trạm thu phí Bạc Liêu,9.374352,105.712277
vn-toll-gmaps-chijz0jdhhggoteru0rs7axzots,toll_station,colleague_name,TRẠM THU PHÍ BẠC LIÊU,tram thu phi bac lieu,0.75,Trạm thu phí Bạc Liêu,9.374352,105.712277
vn-toll-gmaps-chijz0jdhhggoteru0rs7axzots,toll_station,colleague_google_name,Trạm Thu phí Bạc Liêu,tram thu phi bac lieu,0.85,Trạm thu phí Bạc Liêu,9.374352,105.712277
vn-toll-gmaps-chijz0jdhhggoteru0rs7axzots,toll_station,google_name,Trạm thu phí Bạc Liêu,tram thu phi bac lieu,0.7,Trạm thu phí Bạc Liêu,9.374352,105.712277
vn-toll-gmaps-chijiredpchpaderzawuyfy43mo,toll_station,current_name,Trạm thu phí Bắc Bình Định,tram thu phi bac binh dinh,0.90,Trạm thu phí Bắc Bình Định,14.397124,109.017843
vn-toll-gmaps-chijiredpchpaderzawuyfy43mo,toll_station,osm_name,Trạm Thu Phí Bắc Bình Định,tram thu phi bac binh dinh,0.65,Trạm thu phí Bắc Bình Định,14.397124,109.017843
vn-toll-gmaps-chijiredpchpaderzawuyfy43mo,toll_station,colleague_name,TRẠM THU PHÍ BẮC BÌNH ĐỊNH,tram thu phi bac binh dinh,0.75,Trạm thu phí Bắc Bình Định,14.397124,109.017843
