object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-clean-092,toll_station,Trạm thu phí Quốc lộ 37,Trạm thu phí Quốc lộ 37,keep,,Bắc Ninh,Quốc lộ 37,21.3890365,106.3022951
vn-toll-gmaps-chijry-acdcydterl-81xybzbta,toll_station,Trạm thu phí Quốc lộ 51,Trạm thu phí Quốc lộ 51,keep,,Đồng Nai,QL51,10.765217,106.956554
vn-toll-gmaps-chijz9dylgbzcderyflmmd4qeom,toll_station,Trạm thu phí Suối Dầu,Trạm thu phí Suối Dầu,keep,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Khánh Hòa,,12.178763,109.058643
vn-toll-gmaps-chijmfpu1ijrdderilkoelft8ie,toll_station,Trạm thu phí Suối Giữa,Trạm thu phí Suối Giữa,keep,,TP. Hồ Chí Minh,,11.005237,106.64563
vn-toll-clean-088,toll_station,Trạm thu phí Sân bay Pleiku,Trạm thu phí Sân bay Pleiku,keep,,Gia Lai 600000,,14.0072709,108.0048155
vn-toll-gmaps-chijm6tquru8djeran-pvwkiil0,toll_station,Trạm thu phí Sông Lũy,Trạm thu phí Sông Lũy,keep,osm_placeholder_name;source_name_conflict,Lâm Đồng,,11.203574,108.32627
vn-toll-gmaps-chijuyf92xusdderp1zo6r1ueqo,toll_station,Trạm thu phí Sông Phan,Trạm thu phí Sông Phan,keep,osm_placeholder_name;source_name_conflict,Lâm Đồng,,10.875323,107.931343
vn-toll-gmaps-chijh4ypgmglnterffp5cs-xi3k,toll_station,Trạm thu phí Số 1 - Quốc lộ 5,Trạm thu phí Số 1 - Quốc lộ 5,keep,multiple_name_variants,Hưng Yên,QL5,20.949337,106.012557
final-ChIJ4dEMbuZ4SjERLJAkCqZ65Ac,toll_station,Trạm thu phí Số 2 - Quốc lộ 5,Trạm thu phí Số 2 - Quốc lộ 5,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Hải Phòng,QL5,20.9085704,106.5726339
vn-toll-gmaps-chijmzqjckncatervw-k6mqd6u8,toll_station,Trạm thu phí Tam Kỳ,Trạm thu phí Tam Kỳ,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Đà Nẵng,QL1A,15.548535,108.518476
